"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01140","0","CURTAFOND","Curtafond","Curtafond","1943-01-01",""
"01141","0","CUZIEU","Cuzieu","Cuzieu","1943-01-01",""
"01142","0","DAGNEUX","Dagneux","Dagneux","1943-01-01",""
"01143","0","DIVONNE LES BAINS","Divonne-les-Bains","Divonne-les-Bains","1943-01-01",""
"01144","0","DOMMARTIN","Dommartin","Dommartin","1943-01-01","2018-01-01"
"01145","0","DOMPIERRE","Dompierre","Dompierre","1943-01-01","1954-09-11"
"01145","0","DOMPIERRE SUR VEYLE","Dompierre-sur-Veyle","Dompierre-sur-Veyle","1954-09-11",""
"01146","0","DOMPIERRE SUR CHALARONNE","Dompierre-sur-Chalaronne","Dompierre-sur-Chalaronne","1943-01-01",""
"01147","0","DOMSURE","Domsure","Domsure","1943-01-01",""
"01148","0","DORTAN","Dortan","Dortan","1943-01-01",""
"01149","0","DOUVRES","Douvres","Douvres","1943-01-01",""
"01150","0","DROM","Drom","Drom","1943-01-01",""
"01151","0","DRUILLAT","Druillat","Druillat","1943-01-01",""
"01152","1","ECHALLON","Échallon","Échallon","1943-01-01",""
"01153","1","ECHENEVEX","Échenevex","Échenevex","1943-01-01",""
"01154","1","ETREZ","Étrez","Étrez","1943-01-01","2019-01-01"
"01155","1","EVOSGES","Évosges","Évosges","1943-01-01",""
"01156","0","FARAMANS","Faramans","Faramans","1943-01-01",""
"01157","0","FAREINS","Fareins","Fareins","1943-01-01",""
"01158","0","FARGES","Farges","Farges","1943-01-01",""
"01159","0","FEILLENS","Feillens","Feillens","1943-01-01",""
"01160","0","FERNEY VOLTAIRE","Ferney-Voltaire","Ferney-Voltaire","1943-01-01",""
"01161","0","FITIGNIEU","Fitignieu","Fitignieu","1943-01-01","1974-01-01"
"01162","0","FLAXIEU","Flaxieu","Flaxieu","1943-01-01",""
"01163","0","FOISSIAT","Foissiat","Foissiat","1943-01-01",""
"01164","0","FORENS","Forens","Forens","1943-01-01","1962-08-27"
"01165","0","FRANCHELEINS","Francheleins","Francheleins","1943-01-01","1974-01-01"
"01165","1","AMAREINS FRANCHELEINS CESSEINS","Amareins-Francheleins-Cesseins","Amareins-Francheleins-Cesseins","1974-01-01","1998-12-09"
"01165","0","FRANCHELEINS","Francheleins","Francheleins","1998-12-09",""
"01166","0","FRANS","Frans","Frans","1943-01-01",""
"01167","0","GARNERANS","Garnerans","Garnerans","1943-01-01",""
"01168","0","GENAY","Genay","Genay","1943-01-01","1967-12-31"
"01169","0","GENOUILLEUX","Genouilleux","Genouilleux","1943-01-01",""
"01170","0","GEOVREISSIAT","Géovreissiat","Géovreissiat","1943-01-01","2008-10-06"
"01170","0","BEARD GEOVREISSIAT","Béard-Géovreissiat","Béard-Géovreissiat","2008-10-06",""
"01171","0","GEOVREISSET","Géovreisset","Géovreisset","1943-01-01",""
"01172","0","GERMAGNAT","Germagnat","Germagnat","1943-01-01","2017-01-01"
"01173","0","GEX","Gex","Gex","1943-01-01",""
"01174","0","GIRON","Giron","Giron","1943-01-01",""
"01175","0","GORREVOD","Gorrevod","Gorrevod","1943-01-01",""
"01176","2","GRAND ABERGEMENT","Grand-Abergement","Le Grand-Abergement","1943-01-01","2016-01-01"
"01177","0","GRAND CORENT","Grand-Corent","Grand-Corent","1943-01-01",""
"01178","0","GRANGES","Granges","Granges","1943-01-01","1973-01-01"
"01179","0","GRIEGES","Grièges","Grièges","1943-01-01",""
"01180","0","GRILLY","Grilly","Grilly","1943-01-01",""
"01181","0","GROISSIAT","Groissiat","Groissiat","1943-01-01",""
"01182","0","GROSLEE","Groslée","Groslée","1943-01-01","2016-01-01"
"01183","0","GUEREINS","Guéreins","Guéreins","1943-01-01",""
"01184","1","HAUTECOURT","Hautecourt","Hautecourt","1943-01-01","1973-01-01"
"01184","1","HAUTECOURT ROMANECHE","Hautecourt-Romanèche","Hautecourt-Romanèche","1973-01-01",""
"01185","1","HAUTEVILLE LOMPNES","Hauteville-Lompnes","Hauteville-Lompnes","1943-01-01","2019-01-01"
"01185","0","PLATEAU D HAUTEVILLE","Plateau d'Hauteville","Plateau d'Hauteville","2019-01-01",""
"01186","1","HOSTIAS","Hostias","Hostias","1943-01-01","2007-08-15"
"01186","1","HOSTIAZ","Hostiaz","Hostiaz","2007-08-15","2019-01-01"
"01187","1","HOTONNES","Hotonnes","Hotonnes","1943-01-01","2016-01-01"
"01187","0","HAUT VALROMEY","Haut Valromey","Haut Valromey","2016-01-01",""
"01188","1","ILLIAT","Illiat","Illiat","1943-01-01",""
"01189","1","INJOUX","Injoux","Injoux","1943-01-01","1973-01-01"
"01189","1","INJOUX GENISSIAT","Injoux-Génissiat","Injoux-Génissiat","1973-01-01",""
"01190","1","INNIMOND","Innimond","Innimond","1943-01-01",""
"01191","1","IZENAVE","Izenave","Izenave","1943-01-01",""
"01192","1","IZERNORE","Izernore","Izernore","1943-01-01",""
"01193","1","IZIEU","Izieu","Izieu","1943-01-01",""
